epoch;accuracy;loss;val_accuracy;val_loss
0;0.2854864299297333;1.9274959564208984;0.2961586117744446;1.7880868911743164
1;0.38968634605407715;1.634416103363037;0.46468400955200195;1.4925131797790527
2;0.4545454680919647;1.4932035207748413;0.4696406424045563;1.4555405378341675
3;0.49548113346099854;1.383846640586853;0.5365551710128784;1.3605890274047852
4;0.5257841348648071;1.3323523998260498;0.49814125895500183;1.3700991868972778
5;0.5624668002128601;1.234970211982727;0.553903341293335;1.2851426601409912
6;0.5789473652839661;1.2027477025985718;0.5464683771133423;1.3149808645248413
7;0.6018075346946716;1.129084587097168;0.48327139019966125;1.4635725021362305
8;0.6002126336097717;1.1066051721572876;0.548946738243103;1.258087396621704
9;0.6374269127845764;1.044969916343689;0.5997521877288818;1.1885051727294922
10;0.6422116160392761;1.0056631565093994;0.553903341293335;1.283034324645996
11;0.6645401120185852;0.9702260494232178;0.48327139019966125;1.4078444242477417
12;0.6682615876197815;0.9412267208099365;0.5898389220237732;1.1623929738998413
13;0.6905900835990906;0.9356077313423157;0.5452292561531067;1.1910508871078491
14;0.6969696879386902;0.8609217405319214;0.5910780429840088;1.1819398403167725
15;0.7278043627738953;0.790959358215332;0.5712515711784363;1.2856522798538208
16;0.7315257787704468;0.7805091142654419;0.6009913086891174;1.1444028615951538
17;0.7352471947669983;0.745560348033905;0.638166069984436;1.117128849029541
18;0.7511961460113525;0.7231335639953613;0.6022304892539978;1.1466764211654663
19;0.7442849278450012;0.7166776061058044;0.5737298727035522;1.2267893552780151
20;0.7751196026802063;0.6381935477256775;0.627013623714447;1.11761474609375
21;0.7814992070198059;0.6312550902366638;0.5947955250740051;1.1818112134933472
22;0.7958532571792603;0.6203923225402832;0.5563816428184509;1.3126848936080933
23;0.7841573357582092;0.6236124038696289;0.5923172235488892;1.2260662317276
24;0.7969165444374084;0.5660133957862854;0.6394051909446716;1.1078197956085205
25;0.8181818127632141;0.5461679697036743;0.613382875919342;1.2156566381454468
26;0.8389154672622681;0.47536227107048035;0.6071870923042297;1.2368295192718506
27;0.8325358629226685;0.48797932267189026;0.6208178400993347;1.1474688053131104
28;0.8426368832588196;0.4529714584350586;0.5985130071640015;1.2223334312438965
29;0.8601807355880737;0.4152180850505829;0.6071870923042297;1.262398600578308
30;0.8591175079345703;0.3987031579017639;0.6307311058044434;1.212019920349121
31;0.8681552410125732;0.3846019506454468;0.6493184566497803;1.2169270515441895
32;0.8883572816848755;0.3417365252971649;0.6369268894195557;1.1955393552780151
33;0.912812352180481;0.2881200611591339;0.6480793356895447;1.1764822006225586
34;0.8862307071685791;0.3171297013759613;0.6109045743942261;1.3632913827896118
35;0.8973950147628784;0.31857842206954956;0.6456009745597839;1.2150379419326782
36;0.9239766001701355;0.23945721983909607;0.6369268894195557;1.2866592407226562
37;0.9053694605827332;0.2826226055622101;0.6480793356895447;1.1988669633865356
38;0.9377990365028381;0.2123538851737976;0.6617100238800049;1.2615946531295776
39;0.9271664023399353;0.22651849687099457;0.6282528042793274;1.3370394706726074
